nombreObjeto,perimetro,area,circularidad,convexArea
obj1IMAG001.BMP,108.463,319,0.340751143615226,439
obj2IMAG001.BMP,123.408,353,0.291271465805771,488
obj1IMAG002.BMP,220.39,400,0.103487068685415,1495
obj2IMAG002.BMP,127.287,356,0.276116118945031,486
obj1IMAG003.BMP,145.235,1220,0.726820413777024,1370
obj2IMAG003.BMP,110.598,312,0.320530905996124,425
obj1IMAG004.BMP,94.082,746,1.05909668655793,758
obj2IMAG004.BMP,108.457,319,0.3407888463622,435
obj1IMAG005.BMP,94.578,753,1.05785121290725,766
obj2IMAG005.BMP,92.792,723,1.05518131083025,735
obj1IMAG006.BMP,146.566,1241,0.725964149862659,1400
obj2IMAG006.BMP,90.625,692,1.05881459551722,705
obj1IMAG007.BMP,178.1,875,0.346649100905222,1346
obj2IMAG007.BMP,211.244,423,0.119119117286884,1480
obj1IMAG008.BMP,175.924,870,0.353247367888735,1330
obj2IMAG008.BMP,94.843,743,1.03797791274109,760
obj1IMAG009.BMP,215.759,426,0.114995705494296,1456
obj2IMAG009.BMP,219.083,399,0.104463699300567,1479
obj1IMAG010.BMP,239.215,524,0.115070588372389,1290
obj2IMAG010.BMP,239.579,528,0.115596927482157,1305
obj1IMAG011.BMP,132.861,344,0.244891252697886,476
obj2IMAG011.BMP,105.213,332,0.376885248787495,453
obj3IMAG011.BMP,123.06,378,0.313666286512011,541
obj1IMAG012.BMP,207.481,427,0.12464678292274,1398
obj2IMAG012.BMP,107.471,332,0.36121465991046,454
obj3IMAG012.BMP,123.234,374,0.309471297415266,525
obj1IMAG013.BMP,143.355,1160,0.709319930951286,1349
obj2IMAG013.BMP,120.077,409,0.356462225408529,554
obj3IMAG013.BMP,108.505,332,0.354363061537633,456
obj1IMAG014.BMP,233.277,502,0.115923033703206,1227
obj2IMAG014.BMP,114.203,394,0.379621727162647,525
obj3IMAG014.BMP,107.628,337,0.365585720994339,470
obj1IMAG015.BMP,235.477,510,0.115580096219611,1248
obj2IMAG015.BMP,95.033,755,1.05052873735536,771
obj3IMAG015.BMP,111.59,348,0.351187098402667,475
obj1IMAG016.BMP,233.467,494,0.113890056245367,1209
obj2IMAG016.BMP,223.004,375,0.0947579869014042,1505
obj3IMAG016.BMP,113.368,335,0.327547056502665,466
obj1IMAG017.BMP,235.378,508,0.115223706018275,1248
obj2IMAG017.BMP,223.771,411,0.103144026336808,1556
obj3IMAG017.BMP,91.179,699,1.05656784671374,714
obj1IMAG018.BMP,234.41,500,0.114347743449318,1237
obj2IMAG018.BMP,225.739,405,0.099873827443057,1555
obj3IMAG018.BMP,140.924,1113,0.70426337702595,1288
obj1IMAG019.BMP,207.911,419,0.121806075969565,1399
obj2IMAG019.BMP,223.862,398,0.0998003759239021,1527
obj3IMAG019.BMP,137.591,1080,0.716891721604993,1245
obj1IMAG020.BMP,167.513,860,0.385133487437685,1288
obj2IMAG020.BMP,214.503,391,0.106787367465107,1432
obj3IMAG020.BMP,237.951,510,0.11318919508407,1245
obj1IMAG021.BMP,145.317,1224,0.728380708641199,1399
obj2IMAG021.BMP,91.204,701,1.05901011969287,715
obj3IMAG021.BMP,93.652,738,1.05738248664038,751
obj1IMAG022.BMP,109.764,386,0.402603288968023,505
obj2IMAG022.BMP,144.339,1184,0.714157797146127,1331
obj3IMAG022.BMP,119.787,329,0.288128610735976,443
obj4IMAG022.BMP,118.736,351,0.31286152076238,483
obj1IMAG023.BMP,111.741,390,0.392508769010063,509
obj2IMAG023.BMP,160.641,797,0.388110495607682,1170
obj3IMAG023.BMP,133.978,324,0.226823419478229,473
obj4IMAG023.BMP,138.004,1114,0.73504123960864,1263
obj1IMAG024.BMP,112.295,393,0.391635070467527,508
obj2IMAG024.BMP,216.991,420,0.112092282303851,1445
obj3IMAG024.BMP,215.66,470,0.126989706722869,1497
obj4IMAG024.BMP,140.882,1120,0.709115322964009,1288
obj1IMAG025.BMP,215.395,420,0.11375956401831,1441
obj2IMAG025.BMP,96.538,783,1.05578389190883,796
obj3IMAG025.BMP,94.38,749,1.05665140710371,761
obj4IMAG025.BMP,145.745,1115,0.659625448195644,1296
obj1IMAG026.BMP,109.877,389,0.404898230528802,502
obj2IMAG026.BMP,161.989,807,0.386466941289594,1159
obj3IMAG026.BMP,95.612,771,1.05983787694427,782
obj4IMAG026.BMP,142.801,1112,0.68525490655482,1292
obj1IMAG027.BMP,161.244,837,0.404546264736099,1195
obj2IMAG027.BMP,159.632,808,0.398456866263702,1161
obj3IMAG027.BMP,242.143,532,0.114019113182171,1266
obj4IMAG027.BMP,145.026,1113,0.664987207643509,1295
obj1IMAG028.BMP,138.667,1111,0.726068646467834,1264
obj2IMAG028.BMP,148.276,1282,0.73275057153528,1466
obj3IMAG028.BMP,162.586,836,0.397420118417999,1227
obj4IMAG028.BMP,145.63,1213,0.71873528431576,1393
obj1IMAG029.BMP,139.312,1120,0.725188373097474,1275
obj2IMAG029.BMP,145.382,1238,0.736053243019336,1415
obj3IMAG029.BMP,142.687,1165,0.719063054739803,1339
obj4IMAG029.BMP,145.448,1217,0.722911168962674,1394
obj1IMAG030.BMP,214.034,479,0.131395303256443,1517
obj2IMAG030.BMP,212.11,438,0.122338087406591,1486
obj3IMAG030.BMP,211.029,443,0.125005553762595,1451
obj4IMAG030.BMP,207.787,377,0.109727243319484,1370
obj1IMAG031.BMP,211.677,465,0.130411374790606,1488
obj2IMAG031.BMP,217.396,468,0.124437884454859,1563
obj3IMAG031.BMP,119.125,395,0.349784960434217,517
obj4IMAG031.BMP,205.074,379,0.113247303260416,1349
obj1IMAG032.BMP,214.034,447,0.122617328926159,1467
obj2IMAG032.BMP,146.994,1265,0.735700706961276,1443
obj3IMAG032.BMP,116.884,388,0.356887599758907,502
obj4IMAG032.BMP,204.686,359,0.107678261350991,1327
obj1IMAG033.BMP,218.322,429,0.113102486792276,1507
obj2IMAG033.BMP,212.438,480,0.133655456385253,1517
obj3IMAG033.BMP,146.78,1241,0.723848833387928,1421
obj4IMAG033.BMP,119.804,399,0.349333409633765,521
obj5IMAG033.BMP,223.99,469,0.117469588451526,1160
obj1IMAG034.BMP,93.792,738,1.05422820768461,754
obj2IMAG034.BMP,93.718,738,1.05589370816408,752
obj3IMAG034.BMP,87.838,654,1.06517934150429,666
obj4IMAG034.BMP,92.618,720,1.05475492836753,739
obj1IMAG035.BMP,91.94,716,1.06442211106661,726
obj2IMAG035.BMP,120.902,362,0.311208509977058,492
obj3IMAG035.BMP,86.664,636,1.06411733811561,642
obj4IMAG035.BMP,93.834,734,1.04757581598071,749
obj1IMAG036.BMP,92.287,721,1.06381000816109,732
obj2IMAG036.BMP,218.709,439,0.11532967668318,1528
obj3IMAG036.BMP,87.532,639,1.04803797377717,653
obj4IMAG036.BMP,94.305,737,1.04137683577852,756
obj1IMAG037.BMP,92.494,724,1.06346036260207,734
obj2IMAG037.BMP,218.527,437,0.114995565604148,1528
obj3IMAG037.BMP,145.234,1222,0.728021948051479,1399
obj4IMAG037.BMP,87.623,638,1.04422552808244,653
obj1IMAG038.BMP,215.287,430,0.116585008227551,1460
obj2IMAG038.BMP,218.436,431,0.113511197126406,1527
obj3IMAG038.BMP,234.262,494,0.113118365058557,1220
obj4IMAG038.BMP,164.767,804,0.372156358949047,1205
obj1IMAG039.BMP,103.023,319,0.37768710949753,408
obj2IMAG039.BMP,175.552,872,0.355561545927274,1331
obj3IMAG039.BMP,112.552,419,0.415640112530096,525
obj4IMAG039.BMP,212.666,422,0.117253601143997,1496
obj5IMAG039.BMP,106.595,380,0.420261680485811,477
obj1IMAG040.BMP,106.116,323,0.36045465976923,414
obj2IMAG040.BMP,174.692,877,0.361129879889638,1334
obj3IMAG040.BMP,112.081,416,0.416139748539782,520
obj4IMAG040.BMP,171.698,837,0.356783572061386,1251
obj5IMAG040.BMP,107.058,383,0.419923699861434,478
obj1IMAG041.BMP,94.57,751,1.05522002182659,765
obj2IMAG041.BMP,106.801,293,0.322795035056684,401
obj3IMAG041.BMP,94.363,753,1.06267719580697,764
obj4IMAG041.BMP,116.692,389,0.358985823686116,518
obj5IMAG041.BMP,90.344,676,1.04077758344246,689
obj1IMAG042.BMP,133.689,1063,0.747397737840316,1201
obj2IMAG042.BMP,94.76,758,1.06078889728086,771
obj3IMAG042.BMP,93.718,740,1.05875520872821,753
